population,generations,inertia,seed,evaluation_budget,final_hypervolume,feasible_fraction,pareto_members,wall_time_s
20,60,0.4,0,1200,4.0637988405947,1.0,20,2.9890913919989544
20,60,0.4,1,1200,4.00123614315131,1.0,20,3.275418051998713
20,60,0.4,2,1200,4.077123422098105,1.0,20,4.999469998001587
20,60,0.4,3,1200,4.0690520435896,1.0,20,2.3416849560017
20,60,0.4,4,1200,4.068276179751363,1.0,20,2.1044631380027568
20,60,0.7,0,1200,4.0666110164737415,1.0,20,2.110670272002608
20,60,0.7,1,1200,4.017899285345376,1.0,20,2.0986723089990846
20,60,0.7,2,1200,4.073554901523407,1.0,20,2.087574296998355
20,60,0.7,3,1200,3.9060033343472877,1.0,20,3.05361448199983
20,60,0.7,4,1200,4.044004777613674,1.0,20,2.1494124370001373
20,60,0.9,0,1200,4.070001103681656,1.0,20,2.102224292997562
20,60,0.9,1,1200,3.7896940823718666,1.0,7,2.155885626001691
20,60,0.9,2,1200,4.07263481415947,1.0,20,2.1256752680019417
20,60,0.9,3,1200,4.065283688604721,1.0,20,2.096803178999835
20,60,0.9,4,1200,4.069202548653024,1.0,20,2.09246539599917
40,30,0.4,0,1200,4.060347369824999,1.0,40,2.636793949001003
40,30,0.4,1,1200,4.069996685500677,1.0,40,2.7859715779995895
40,30,0.4,2,1200,4.072325417861003,1.0,40,2.9605996909995156
40,30,0.4,3,1200,4.069629567580167,1.0,25,3.1621946759987622
40,30,0.4,4,1200,4.066709100565783,1.0,39,2.92704753200087
40,30,0.7,0,1200,4.067482235329161,1.0,40,3.072093605998816
40,30,0.7,1,1200,4.053703310644421,1.0,40,3.1014183859988407
40,30,0.7,2,1200,4.060908590964747,1.0,22,3.0007388729973172
40,30,0.7,3,1200,4.074452467343212,1.0,39,3.0608611309980915
40,30,0.7,4,1200,4.071648834293177,1.0,40,2.9949351780014695
40,30,0.9,0,1200,3.9098218732625356,1.0,40,3.0130818110010296
40,30,0.9,1,1200,4.070010374378593,1.0,36,2.427477942997939
40,30,0.9,2,1200,4.072543501672945,1.0,40,3.0125423409990617
40,30,0.9,3,1200,4.067553535590151,1.0,28,2.9517294709985435
40,30,0.9,4,1200,4.070671983194834,1.0,35,3.2420809399991413
80,15,0.4,0,1200,4.046113212621369,1.0,39,5.050965997001185
80,15,0.4,1,1200,4.061800505826344,1.0,49,4.933229091999237
80,15,0.4,2,1200,4.056937736320536,1.0,37,5.274065894998785
80,15,0.4,3,1200,4.0727601030516105,1.0,28,12.443654745002277
80,15,0.4,4,1200,4.073636910144732,1.0,56,3.9722257899993565
80,15,0.7,0,1200,4.070848536442619,1.0,41,5.973823435000668
80,15,0.7,1,1200,4.063188420988802,1.0,33,4.9016411310003605
80,15,0.7,2,1200,4.0733465778077935,1.0,37,5.509344211001007
80,15,0.7,3,1200,4.074691433034331,1.0,38,4.987059513001441
80,15,0.7,4,1200,4.069178932146655,1.0,29,5.717140885997651
80,15,0.9,0,1200,4.065959737596958,1.0,27,6.078263085000799
80,15,0.9,1,1200,4.071385129460873,1.0,43,4.545882922000601
80,15,0.9,2,1200,4.070311844607081,1.0,80,5.52439198600041
80,15,0.9,3,1200,4.074963158462892,1.0,80,4.8351386670001375
80,15,0.9,4,1200,4.073692109299458,1.0,31,5.1370106380018115
