d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm
1.000000000000000056e-01,1.000000000000000000e+01,6.881945686725645217e+00,1.000000000000000000e+01,6.071166276764677683e+00,5.096525083737089845e-02,1.112000731949206317e-01,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000056e-01,7.103807840845226984e+00,8.807192053793745146e+00,1.000000000000000000e+01,7.508364267117029200e-02,2.389838750716894722e-01,7.900000000000000355e+00,2.324506060731785340e+00,2.126238246974614110e-01
1.000000000000000056e-01,1.000000000000000000e+01,4.829427954089284825e+00,2.472238459854162684e+00,6.666429567848263460e+00,1.581901718833651493e-01,0.000000000000000000e+00,7.899279319303413871e+00,2.273776386776301450e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000000e+01,6.461616281141687068e+00,9.957988345335792246e+00,9.357685970368539330e+00,5.831028955679612436e-02,7.123599864206012211e-02,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,2.788833133275786302e+00,4.984183431354584748e+00,6.682466435844460761e+00,9.215333368015791393e+00,1.696710571597092598e-01,1.203237769664465551e-01,7.900000000000000355e+00,2.200000000000000178e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000056e-01,8.853841388243202104e+00,1.000000000000000000e+01,9.961380372081931611e+00,3.389975904483524122e-02,7.261690018494382226e-02,7.900000000000000355e+00,2.637203050675270610e+00,2.301304043544473155e-01
1.000000000000000056e-01,1.000000000000000056e-01,8.051206162542104749e+00,9.278293538989002442e+00,1.000000000000000000e+01,7.886663911705354968e-02,1.950451333121807906e-01,7.897866208921501041e+00,2.251301404535436923e+00,2.233122912135860894e-01
1.000000000000000056e-01,1.000000000000000056e-01,9.101322883444186829e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.180280942830194690e-01,2.104503773836513825e-01,7.900000000000000355e+00,2.264429143303824610e+00,1.714399535991567580e-01
1.000000000000000056e-01,4.117713192462671756e+00,5.397193478362144248e+00,5.859898446482610268e+00,8.083989716909179890e+00,1.056837448187340905e-01,6.775684657065822458e-03,7.899868131369205848e+00,2.276064868530111251e+00,1.499999999999999944e-01
1.000000000000000056e-01,1.000000000000000056e-01,9.056508122542648920e+00,1.000000000000000000e+01,9.412600229939132035e+00,0.000000000000000000e+00,1.923960071202024669e-01,7.900000000000000355e+00,2.212209107412518971e+00,2.396532928065270573e-01
