design_id,split,d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,strain,normalized_strain,reaction_N,lower_reaction_N,potential_energy_Nmm,stress_pnorm_MPa,stress_q99_MPa,maximum_stress_MPa,lower_platen_surface_mm,upper_platen_surface_mm,raw_solver_success,solver_accepted,solver_gradient_norm,solver_normalized_projected_gradient,solver_iterations,solver_message,solver_optimizer_method,solver_primary_success,solver_fallback_used,solver_independent_kkt_confirmed,solver_subdivision_count,solver_diagnostics_json,protocol_fingerprint,design_ledger_fingerprint
D000,test,0.6279124563273644,10.0,5.669894600811906,8.321548653554638,5.525153315130971,1.0,1.0,7.9,2.2,0.15,0.020830077404459635,0.33173537480517507,0.18809046105061764,0.2760552061546448,1.0,1.0,0.27848101265822783,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,2.2750000000000004,True,True,0.0,0.0,0.0,undeformed reference,reference,True,False,False,1,[],f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D000,test,0.6279124563273644,10.0,5.669894600811906,8.321548653554638,5.525153315130971,1.0,1.0,7.9,2.2,0.15,0.020830077404459635,0.33173537480517507,0.18809046105061764,0.2760552061546448,1.0,1.0,0.27848101265822783,0.06818181818181818,0.05,0.2,0.7521670811982251,0.7476406826813962,0.041466713725131256,5.796379946064552,6.864422897174367,6.864520212626433,-0.075,2.1650000000000005,True,True,0.0027789221352963606,1.2350765045761602e-05,648.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.05,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":648,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":648,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0027789221352963606,""normalized_projected_gradient"":1.2350765045761602e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D000,test,0.6279124563273644,10.0,5.669894600811906,8.321548653554638,5.525153315130971,1.0,1.0,7.9,2.2,0.15,0.020830077404459635,0.33173537480517507,0.18809046105061764,0.2760552061546448,1.0,1.0,0.27848101265822783,0.06818181818181818,0.1,0.4,1.4250555656960966,1.4317709723844905,0.16171907719235024,11.270202065154317,13.354035028196606,13.359342084436353,-0.075,2.055,True,True,0.003123645856531909,1.3882870473475151e-05,601.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.1,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":601,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":601,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.003123645856531909,""normalized_projected_gradient"":1.3882870473475151e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D000,test,0.6279124563273644,10.0,5.669894600811906,8.321548653554638,5.525153315130971,1.0,1.0,7.9,2.2,0.15,0.020830077404459635,0.33173537480517507,0.18809046105061764,0.2760552061546448,1.0,1.0,0.27848101265822783,0.06818181818181818,0.15,0.6,2.0652894354206577,2.0696384350051575,0.35442791080798125,16.334449477857735,19.35143336924794,19.363711811385006,-0.075,1.9450000000000003,True,True,0.0027460646165542446,1.2204731629129976e-05,664.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.15,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":664,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":664,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0027460646165542446,""normalized_projected_gradient"":1.2204731629129976e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D000,test,0.6279124563273644,10.0,5.669894600811906,8.321548653554638,5.525153315130971,1.0,1.0,7.9,2.2,0.15,0.020830077404459635,0.33173537480517507,0.18809046105061764,0.2760552061546448,1.0,1.0,0.27848101265822783,0.06818181818181818,0.2,0.8,2.6394278277681336,2.635475158569953,0.6132653788038067,20.903630692458513,24.73197190288715,24.744711024697015,-0.075,1.8350000000000004,True,True,0.002809846180588771,1.2488205247061203e-05,562.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.2,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":562,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":562,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.002809846180588771,""normalized_projected_gradient"":1.2488205247061203e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D001,train,9.884838776206049,0.1,10.0,0.1,0.34781357580860317,0.0,0.0,4.86576429402609,4.0,0.15626015145824992,0.4837765849440201,0.004894127217416296,0.48941272174162953,0.004894127217416296,0.0,0.0,0.822070235689586,0.03906503786456248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07813007572912496,4.078130075729125,True,True,0.0,0.0,0.0,undeformed reference,reference,True,False,False,1,[],f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D001,train,9.884838776206049,0.1,10.0,0.1,0.34781357580860317,0.0,0.0,4.86576429402609,4.0,0.15626015145824992,0.4837765849440201,0.004894127217416296,0.48941272174162953,0.004894127217416296,0.0,0.0,0.822070235689586,0.03906503786456248,0.05,0.2,4.1884899855234465,4.179956718346329,0.47175402807959466,18.688331719268398,22.328109704784467,22.33223217089029,-0.07813007572912496,3.878130075729125,True,True,0.0030649765380430516,1.3076383665061538e-05,1048.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.05,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":1048,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":1048,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0030649765380430516,""normalized_projected_gradient"":1.3076383665061538e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D001,train,9.884838776206049,0.1,10.0,0.1,0.34781357580860317,0.0,0.0,4.86576429402609,4.0,0.15626015145824992,0.4837765849440201,0.004894127217416296,0.48941272174162953,0.004894127217416296,0.0,0.0,0.822070235689586,0.03906503786456248,0.1,0.4,6.1254753149420775,6.128960201630688,1.526402406384574,29.98123962087508,35.729681986760376,35.73001477619707,-0.07813007572912496,3.678130075729125,True,True,0.0032473058357811446,1.3854271463226162e-05,877.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.1,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":877,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":877,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0032473058357811446,""normalized_projected_gradient"":1.3854271463226162e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D001,train,9.884838776206049,0.1,10.0,0.1,0.34781357580860317,0.0,0.0,4.86576429402609,4.0,0.15626015145824992,0.4837765849440201,0.004894127217416296,0.48941272174162953,0.004894127217416296,0.0,0.0,0.822070235689586,0.03906503786456248,0.15,0.6,7.067095893204382,7.069800519340189,2.8565274816435045,36.68380194523752,43.59648045027287,43.59754737516118,-0.07813007572912496,3.478130075729125,True,True,0.003026206662598785,1.2910976276240358e-05,1104.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.15,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":1104,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":1104,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.003026206662598785,""normalized_projected_gradient"":1.2910976276240358e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D001,train,9.884838776206049,0.1,10.0,0.1,0.34781357580860317,0.0,0.0,4.86576429402609,4.0,0.15626015145824992,0.4837765849440201,0.004894127217416296,0.48941272174162953,0.004894127217416296,0.0,0.0,0.822070235689586,0.03906503786456248,0.2,0.8,7.517264088649874,7.519446973118004,4.321530511071829,40.893325468200985,48.45949460606939,48.46021210792948,-0.07813007572912496,3.278130075729125,True,True,0.0032385723654546617,1.381701107728225e-05,826.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.2,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":826,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":826,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0032385723654546617,""normalized_projected_gradient"":1.381701107728225e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
