case,seed,generation,evaluations,hypervolume,normalized_hypervolume,reference_objective_1,reference_objective_2
C037,3,1,36,1014.0523035160802,0.5997913192471255,0.423942885276629,3987.9786881590203
C037,3,2,72,1015.364536395017,0.6005674783139585,0.423942885276629,3987.9786881590203
C037,3,3,108,1016.2707610532286,0.6011034917734205,0.423942885276629,3987.9786881590203
C037,3,4,144,1035.7636766773521,0.6126331550241491,0.423942885276629,3987.9786881590203
C037,3,5,180,1036.9266710715174,0.6133210425616407,0.423942885276629,3987.9786881590203
C037,3,6,216,1037.1028896528762,0.6134252722695389,0.423942885276629,3987.9786881590203
C037,3,7,252,1037.1028896528762,0.6134252722695389,0.423942885276629,3987.9786881590203
C037,3,8,288,1037.2590513403488,0.6135176387325116,0.423942885276629,3987.9786881590203
C037,3,9,324,1037.5640292425603,0.6136980269606872,0.423942885276629,3987.9786881590203
C037,3,10,360,1038.0502239338193,0.6139856012349826,0.423942885276629,3987.9786881590203
C037,3,11,396,1038.0502239338193,0.6139856012349826,0.423942885276629,3987.9786881590203
C037,3,12,432,1042.93762664041,0.616876400562506,0.423942885276629,3987.9786881590203
C037,3,13,468,1047.505803789444,0.6195783844634087,0.423942885276629,3987.9786881590203
C037,3,14,504,1047.822869295286,0.6197659222633598,0.423942885276629,3987.9786881590203
C037,3,15,540,1047.823963849803,0.6197665696701016,0.423942885276629,3987.9786881590203
C037,3,16,576,1048.9831033391706,0.6204521771097854,0.423942885276629,3987.9786881590203
C037,3,17,612,1049.7503428108278,0.6209059836573255,0.423942885276629,3987.9786881590203
C037,3,18,648,1049.7644469289723,0.6209143259564351,0.423942885276629,3987.9786881590203
C037,3,19,684,1049.8524088582042,0.6209663536490844,0.423942885276629,3987.9786881590203
C037,3,20,720,1049.9308893458867,0.621012773261839,0.423942885276629,3987.9786881590203
C037,3,21,756,1050.093972305692,0.6211092335166692,0.423942885276629,3987.9786881590203
C037,3,22,792,1050.093271491329,0.6211088189992229,0.423942885276629,3987.9786881590203
C037,3,23,828,1050.3045623518472,0.6212337932471346,0.423942885276629,3987.9786881590203
C037,3,24,864,1050.3045623518472,0.6212337932471346,0.423942885276629,3987.9786881590203
C037,3,25,900,1050.3244943789828,0.6212455826359161,0.423942885276629,3987.9786881590203
C037,3,26,936,1050.3244943789828,0.6212455826359161,0.423942885276629,3987.9786881590203
C037,3,27,972,1050.3252723255212,0.6212460427754759,0.423942885276629,3987.9786881590203
C037,3,28,1008,1050.3252723255212,0.6212460427754759,0.423942885276629,3987.9786881590203
C037,3,29,1044,1050.3198428763562,0.6212428313666895,0.423942885276629,3987.9786881590203
C037,3,30,1080,1050.3485517575025,0.6212598120861623,0.423942885276629,3987.9786881590203
C037,3,31,1116,1050.3485517575025,0.6212598120861623,0.423942885276629,3987.9786881590203
C037,3,32,1152,1050.522839048107,0.6213628994748476,0.423942885276629,3987.9786881590203
C037,3,33,1188,1050.56124931529,0.6213856183669072,0.423942885276629,3987.9786881590203
C037,3,34,1224,1050.56124931529,0.6213856183669072,0.423942885276629,3987.9786881590203
C037,3,35,1260,1050.56124931529,0.6213856183669072,0.423942885276629,3987.9786881590203
C037,3,36,1296,1050.919127847666,0.6215972962422196,0.423942885276629,3987.9786881590203
C037,3,37,1332,1050.937860589135,0.6216083762779139,0.423942885276629,3987.9786881590203
C037,3,38,1368,1051.0248736737426,0.6216598427482602,0.423942885276629,3987.9786881590203
C037,3,39,1404,1051.0293587222131,0.621662495563238,0.423942885276629,3987.9786881590203
C037,3,40,1440,1051.175975027977,0.6217492161270121,0.423942885276629,3987.9786881590203
C037,3,41,1476,1051.1627721350087,0.6217414068842699,0.423942885276629,3987.9786881590203
C037,3,42,1512,1051.2038373145183,0.6217656961029895,0.423942885276629,3987.9786881590203
C037,3,43,1548,1051.2299815337024,0.6217811598770578,0.423942885276629,3987.9786881590203
C037,3,44,1584,1051.2403393287893,0.6217872863022513,0.423942885276629,3987.9786881590203
C037,3,45,1620,1051.2403393287893,0.6217872863022513,0.423942885276629,3987.9786881590203
C037,3,46,1656,1051.2423766368174,0.6217884913285262,0.423942885276629,3987.9786881590203
C037,3,47,1692,1051.2423766368174,0.6217884913285262,0.423942885276629,3987.9786881590203
C037,3,48,1728,1051.250805431234,0.6217934767890447,0.423942885276629,3987.9786881590203
C037,3,49,1764,1051.250805431234,0.6217934767890447,0.423942885276629,3987.9786881590203
C037,3,50,1800,1051.250805431234,0.6217934767890447,0.423942885276629,3987.9786881590203
C037,3,51,1836,1051.250805431234,0.6217934767890447,0.423942885276629,3987.9786881590203
