case,seed,generation_42_normalized_hypervolume,final_normalized_hypervolume,relative_gain_42_to_final
C037,3,0.6217656961029895,0.6224654781280531,0.0011242101765515764
C037,11,0.621136359658878,0.6215036057359888,0.0005908993507381347
C037,29,0.6170280236513503,0.6170803247295866,8.475570544110645e-05
C037,47,0.6202371589623203,0.6203737281964894,0.0002201402605588628
C037,83,0.6177073442611628,0.6191461149766603,0.002323798342095241
C038,3,0.3378717144764951,0.33829960688466293,0.001264832708817484
C038,11,0.33868640336489,0.33872596472751115,0.0001167945972284759
C038,29,0.3403562891179488,0.3407079355678192,0.0010321052525071152
C038,47,0.34059944306630363,0.3408118452995091,0.000623224327836358
C038,83,0.34001160327053437,0.34012845967904476,0.0003435655123380732
C039,3,0.354585633661421,0.3545914793692321,1.6485753751022226e-05
C039,11,0.360960887190408,0.36292327042172523,0.005407157355980289
C039,29,0.3559675129812779,0.35792439999766973,0.005467319401540076
C039,47,0.35648669539233885,0.3611223736017561,0.012836862372115
C039,83,0.36066902384628285,0.3616651164331935,0.002754184856793156
